RomName,Console,FileSize,FileType,LocationUrl,DownloadUrl,DateFirstAdded, DateLastUpdated,FlagDownload,PreviouslyDownloaded,Rating,LocalPath,Notes
Big Nose the Caveman,Nintendo,125 KB,fType,https://vimm.net/vault/107,https://download2.vimm.net/download/?mediaId=107,dateF,dateL,False,False,rate,lPath,blah
Bigfoot,Nintendo,102 KB,fType,https://vimm.net/vault/105,https://download2.vimm.net/download/?mediaId=105,dateF,dateL,False,False,rate,lPath,blah
Bill & Ted's Excellent Video Game Adventure,Nintendo,125 KB,fType,https://vimm.net/vault/108,https://download2.vimm.net/download/?mediaId=108,dateF,dateL,False,False,rate,lPath,blah
Bill Elliot's NASCAR Challenge,Nintendo,159 KB,fType,https://vimm.net/vault/100,https://download2.vimm.net/download/?mediaId=100,dateF,dateL,False,False,rate,lPath,blah
Bio Miracle Baby Upa!!,Nintendo,76 KB,fType,https://vimm.net/vault/109,https://download2.vimm.net/download/?mediaId=109,dateF,dateL,False,False,rate,lPath,blah
Bio-Warrior Dan: The Inkliezar Battle,Nintendo,132 KB,fType,https://vimm.net/vault/112,https://download2.vimm.net/download/?mediaId=112,dateF,dateL,False,False,rate,lPath,blah
Bionic Commando,Nintendo,146 KB,fType,https://vimm.net/vault/111,https://download2.vimm.net/download/?mediaId=111,dateF,dateL,False,False,rate,lPath,blah
Black Bass The,Nintendo,62 KB,fType,https://vimm.net/vault/116,https://download2.vimm.net/download/?mediaId=116,dateF,dateL,False,False,rate,lPath,blah
Blackjack,Nintendo,21 KB,fType,https://vimm.net/vault/114,https://download2.vimm.net/download/?mediaId=114,dateF,dateL,False,False,rate,lPath,blah
Blades of Steel,Nintendo,82 KB,fType,https://vimm.net/vault/115,https://download2.vimm.net/download/?mediaId=115,dateF,dateL,False,False,rate,lPath,blah
Blaster Master,Nintendo,155 KB,fType,https://vimm.net/vault/117,https://download2.vimm.net/download/?mediaId=117,dateF,dateL,False,False,rate,lPath,blah
Blue Marlin The,Nintendo,106 KB,fType,https://vimm.net/vault/118,https://download2.vimm.net/download/?mediaId=118,dateF,dateL,False,False,rate,lPath,blah
Blues Brothers The,Nintendo,60 KB,fType,https://vimm.net/vault/119,https://download2.vimm.net/download/?mediaId=119,dateF,dateL,False,False,rate,lPath,blah
Bo Jackson Baseball,Nintendo,139 KB,fType,https://vimm.net/vault/120,https://download2.vimm.net/download/?mediaId=120,dateF,dateL,False,False,rate,lPath,blah
Bomberman,Nintendo,16 KB,fType,https://vimm.net/vault/121,https://download2.vimm.net/download/?mediaId=121,dateF,dateL,False,False,rate,lPath,blah
Bomberman II,Nintendo,67 KB,fType,https://vimm.net/vault/122,https://download2.vimm.net/download/?mediaId=122,dateF,dateL,False,False,rate,lPath,blah
Bonk's Adventure,Nintendo,143 KB,fType,https://vimm.net/vault/123,https://download2.vimm.net/download/?mediaId=123,dateF,dateL,False,False,rate,lPath,blah
Boulder Dash,Nintendo,36 KB,fType,https://vimm.net/vault/124,https://download2.vimm.net/download/?mediaId=124,dateF,dateL,False,False,rate,lPath,blah
Bram Stoker's Dracula,Nintendo,113 KB,fType,https://vimm.net/vault/126,https://download2.vimm.net/download/?mediaId=126,dateF,dateL,False,False,rate,lPath,blah
Break Time: The National Pool Tour,Nintendo,73 KB,fType,https://vimm.net/vault/128,https://download2.vimm.net/download/?mediaId=128,dateF,dateL,False,False,rate,lPath,blah
BreakThru,Nintendo,57 KB,fType,https://vimm.net/vault/127,https://download2.vimm.net/download/?mediaId=127,dateF,dateL,False,False,rate,lPath,blah
Bubble Bath Babes,Nintendo,52 KB,fType,https://vimm.net/vault/134,https://download2.vimm.net/download/?mediaId=134,dateF,dateL,False,False,rate,lPath,blah
Bubble Bobble,Nintendo,49 KB,fType,https://vimm.net/vault/132,https://download2.vimm.net/download/?mediaId=132,dateF,dateL,False,False,rate,lPath,blah
Bubble Bobble Part 2,Nintendo,119 KB,fType,https://vimm.net/vault/133,https://download2.vimm.net/download/?mediaId=133,dateF,dateL,False,False,rate,lPath,blah
Bucky O'Hare,Nintendo,158 KB,fType,https://vimm.net/vault/135,https://download2.vimm.net/download/?mediaId=135,dateF,dateL,False,False,rate,lPath,blah
Bugs Bunny Birthday Blowout The,Nintendo,120 KB,fType,https://vimm.net/vault/136,https://download2.vimm.net/download/?mediaId=136,dateF,dateL,False,False,rate,lPath,blah
Bugs Bunny Crazy Castle The,Nintendo,36 KB,fType,https://vimm.net/vault/138,https://download2.vimm.net/download/?mediaId=138,dateF,dateL,False,False,rate,lPath,blah
Bump 'n' Jump,Nintendo,34 KB,fType,https://vimm.net/vault/140,https://download2.vimm.net/download/?mediaId=140,dateF,dateL,False,False,rate,lPath,blah
Burai Fighter,Nintendo,329 MB,fType,https://vimm.net/vault/141,https://download2.vimm.net/download/?mediaId=141,dateF,dateL,False,False,rate,lPath,blah
BurgerTime,Nintendo,15 KB,fType,https://vimm.net/vault/142,https://download2.vimm.net/download/?mediaId=142,dateF,dateL,False,False,rate,lPath,blah
Cabal,Nintendo,94 KB,fType,https://vimm.net/vault/143,https://download2.vimm.net/download/?mediaId=143,dateF,dateL,False,False,rate,lPath,blah
Cadillac,Nintendo,35 KB,fType,https://vimm.net/vault/2872,https://download2.vimm.net/download/?mediaId=2872,dateF,dateL,False,False,rate,lPath,blah
Caesar's Palace,Nintendo,144 KB,fType,https://vimm.net/vault/144,https://download2.vimm.net/download/?mediaId=144,dateF,dateL,False,False,rate,lPath,blah
California Games,Nintendo,90 KB,fType,https://vimm.net/vault/145,https://download2.vimm.net/download/?mediaId=145,dateF,dateL,False,False,rate,lPath,blah
Caltron: 6 in 1,Nintendo,134 KB,fType,https://vimm.net/vault/146,https://download2.vimm.net/download/?mediaId=146,dateF,dateL,False,False,rate,lPath,blah
Capcom's Gold Medal Challenge '92,Nintendo,132 KB,fType,https://vimm.net/vault/375,https://download2.vimm.net/download/?mediaId=375,dateF,dateL,False,False,rate,lPath,blah
Captain America and the Avengers,Nintendo,145 KB,fType,https://vimm.net/vault/147,https://download2.vimm.net/download/?mediaId=147,dateF,dateL,False,False,rate,lPath,blah
Captain Comic: The Adventure,Nintendo,48 KB,fType,https://vimm.net/vault/22,https://download2.vimm.net/download/?mediaId=22,dateF,dateL,False,False,rate,lPath,blah
